rails_serve_static_assets,0.0.1,New BSD,Sets serve_static_assets to true so Rails will sere your static assets,Force Rails to serve static assets
rails_stdout_logging,0.0.1,MIT,Overrides Rails' built in logger to send all logs to stdout,Sets Rails to log to stdout
railties,4.1.5,MIT,"Tools for creating, working with, and running Rails applications.","Rails internals: application bootup, plugins, generators, and rake tasks."
raindrops,0.11.0,LGPL,real-time stats for preforking Rack servers,"Raindrops is a real-time stats toolkit to show statistics for Rack HTTP
servers.  It is designed for preforking servers such as Rainbows! and
Unicorn, but should support any Rack HTTP server under Ruby 1.9, 1.8 and
Rubinius on platforms supporting POSIX shared memory.  It may also be
used as a generic scoreboard for sharing atomic counters across multiple
processes."
rake,10.3.2,MIT,Rake is a Make-like program implemented in Ruby,"Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.

Rake has the following features:

* Rakefiles (rake's version of Makefiles) are completely defined in
  standard Ruby syntax.  No XML files to edit.  No quirky Makefile
  syntax to worry about (is that a tab or a space?)

* Users can specify tasks with prerequisites.

* Rake supports rule patterns to synthesize implicit tasks.

* Flexible FileLists that act like arrays but know about manipulating
  file names and paths.

* A library of prepackaged tasks to make building rakefiles easier. For example,
  tasks for building tarballs and publishing to FTP or SSH sites.  (Formerly
  tasks for building RDoc and Gems were included in rake but they're now
  available in RDoc and RubyGems respectively.)

* Supports parallel execution of tasks."
rb-readline,0.5.1,BSD,Pure-Ruby Readline Implementation,"The readline library provides a pure Ruby implementation of the GNU readline C library, as well as the Readline extension that ships as part of the standard library."
redcarpet,3.1.2,MIT,Markdown that smells nice,"A fast, safe and extensible Markdown to (X)HTML parser"
redis,3.0.7,MIT,A Ruby client library for Redis,"A Ruby client that tries to match Redis' API one-to-one, while still
    providing an idiomatic interface. It features thread-safety,
    client-side sharding, pipelining, and an obsession for performance."
redis-namespace,1.4.1,MIT,Namespaces Redis commands.,"Adds a Redis::Namespace class which can be used to namespace calls
to Redis. This is useful when using a single instance of Redis with
multiple, different applications."
rest-client,1.6.7,MIT,"Simple HTTP and REST client for Ruby, inspired by microframework syntax for specifying actions.","A simple HTTP and REST client for Ruby, inspired by the Sinatra microframework style of specifying actions: get, put, post, delete."
roadie,3.0.1,MIT,Making HTML emails comfortable for the Ruby rockstars,Roadie tries to make sending HTML emails a little less painful by inlining stylesheets and rewriting relative URLs for you.
roadie-rails,1.0.3,MIT,Making HTML emails comfortable for the Rails rockstars,Hooks Roadie into your Rails application to help with email generation.
rspec,3.0.0,MIT,rspec-3.0.0,BDD for Ruby
rspec-core,3.0.4,MIT,rspec-core-3.0.4,BDD for Ruby. RSpec runner and example groups.
rspec-expectations,3.0.4,MIT,rspec-expectations-3.0.4,"rspec-expectations provides a simple, readable API to express expected outcomes of a code example."
rspec-instafail,0.2.5,MIT,Show failing specs instantly,""
rspec-legacy_formatters,1.0.0,MIT,rspec-legacy_formatters-1.0.0,Support for RSpec 2.x formatters on 3.x
rspec-mocks,3.0.4,MIT,rspec-mocks-3.0.4,"RSpec's 'test double' framework, with support for stubbing and mocking"
rspec-rails,3.0.2,MIT,rspec-rails-3.0.2,RSpec for Rails
rspec-support,3.0.4,MIT,rspec-support-3.0.4,Support utilities for RSpec gems
rspec_junit_formatter,0.2.0,MIT,RSpec JUnit XML formatter,RSpec results that Hudson can read.
ruby-hmac,0.4.0,MIT,This module provides common interface to HMAC functionality,"This module provides common interface to HMAC functionality. HMAC is a kind of ""Message Authentication Code"" (MAC) algorithm whose standard is documented in RFC2104. Namely, a MAC provides a way to check the integrity of information transmitted over or stored in an unreliable medium, based on a secret key.

Originally written by Daiki Ueno. Converted to a RubyGem by Geoffrey Grosenbach"
ruby-progressbar,1.5.1,MIT,Ruby/ProgressBar is a flexible text progress bar library for Ruby.,"Ruby/ProgressBar is an extremely flexible text progress bar library for Ruby.
The output can be customized with a flexible formatting system including:
percentage, bars of various formats, elapsed time and estimated time remaining."
rubyzip,1.1.6,BSD 2-Clause,rubyzip is a ruby module for reading and writing zip files,""
